# -*- encoding: utf8 -*-
# 一级字 (3500)
一	A	A
乙	YDA
二	BD
十	ED
丁	AI
厂	GG
七	HD
卜	ID
八	O	A
人	OD
入	ODA
儿	RD
匕	RR
几	QD
九	QY
刁	𠃌 一
了	Y
刀	YD
力	YM
乃	Y 丿
又	XS
三	CD
干	一 十
于	一 D
亏	二 Z
工	BI
土	B	A
士	B
才	D 丿
下	一 卜
寸	DS
大	GD
丈	一 乂
与	一 Z 一
万	一 力
上	卜 一
小	KO
口	J	A
山	LL
巾	LI
千	ME
乞	𠂉 乙
川	ND
亿	亻 乙
个	人 丨
夕	RS
久	⺈ 丶
么	丿 厶
勺	勹 丶
凡	QDA
丸	QYA
及	Y 丿 丶	# 笔顺有误？
广	TG
亡	SH
门	TL
丫	丷 丨
义	丶 乂
之	W	A
尸	XM
己	YY
已	YYA
巳	YYB
弓	YZ
子	YA
卫	𠃌 一
也	YI
女	ZM
刃	刀 丶
飞	⺄ TD
习	YT
叉	又 丶
马	X	A
乡	Z ZM
丰	CI
王	C	A
开	一 廾
井	二 ND
天	一 大
夫	二 人
元	二 儿
无	一 尤
云	二 厶
专	二 Z 丶
丐	一 卜 Z
扎	扌 乚
艺	艹 乙
木	F	A
五	工 X
支	十 又
厅	厂 丁
不	GI
犬	大 丶
太	大 丶
区	匚 乂
历	厂 力
歹	一 夕
友	𠂇 又
尤	GR
匹	匚 儿
车	HE
巨	匚 X
牙	HI
屯	七 凵
戈	HM
比	匕 匕
互	二 ZM
切	七 刀
瓦	一 Z Y 丶
止	II
少	小 丿
曰	K
日	K	A
中	口 丨
贝	LO
冈	冂 乂
内	冂 人
水	KV
见	LR
午	𠂉 十
牛	MB
手	MD
气	MY
毛	MH
壬	丿 士
升	丿 廾
夭	丿 大
长	CH
仁	亻 二
什	亻 十
片	NX
仆	亻 卜
化	亻 匕
仇	亻 九
币	丿 巾
仍	亻 乃
仅	亻 又
斤	PD
爪	PV
反	⺁ 又
介	人 ND
父	八 乂
从	人 人
仑	人 匕
今	人 丶 X
凶	乂 凵
分	八 刀
乏	丿 之
公	八 厶
仓	人 ⺋
月	Q
氏	RH
勿	勹 OD
欠	RO
风	QD 乂
丹	Q 亠
匀	勹 冫
乌	RZA
勾	勹 厶
凤	QD 又
六	亠 八
文	SO
亢	亠 几
方	SY
火	UO
为	UD 𠃌 丶
斗	TD 十
忆	忄 乙
计	讠 十
订	讠 丁
户	WM
认	讠 人
冗	冖 几
讥	讠 几
心	WZ
尺	尸 丶
引	弓 丨
丑	X 十
巴	YIA
孔	子 乚
队	阝 人
办	力 八
以	厶 人
允	厶 儿
予	龴 乛 丨
邓	又 阝
劝	又 力
双	又 又
书	X 𠃌 丨 丶
幻	幺 𠃌
玉	CS
刊	干 刂
未	二 小
末	一 木
示	BK
击	BI 凵
打	扌 丁
巧	工 一 Z
正	一 止
扑	扌 卜
卉	十 廾
扒	扌 八
功	工 力
扔	扌 乃
去	土 厶
甘	EB
世	廿 Z
艾	艹 乂
古	十 口
节	艹 Y
本	木 一
术	木 丶
可	丁 口
丙	一 内
左	𠂇 工
厉	厂 万
石	G	A
右	𠂇 口
布	𠂇 巾
夯	大 力
戊	HM	AAA	# 强行设为HMAA，避开医、戌
龙	GM
平	一 UA
灭	一 火
轧	车 乚
东	七 小
卡	上 卜
北	丬 匕
占	卜 口
凸	丨 一 Y 一
卢	卜 尸
业	KU
旧	丨 日
帅	刂 巾
归	刂 彐
旦	日 一
目	L	A
且	LC
叶	口 十
甲	KIB
申	KIC
叮	口 丁
电	日 乚
号	口 一 Z
田	KI
由	KIA
只	口 八
叭	口 八
史	口 乂
央	冂 大
兄	口 儿
叽	口 几
叼	口 刁
叫	口 丩
叩	口 卩
叨	口 刀
另	口 力
叹	口 又
冉	冂 土
皿	LKA
凹	丨 Y 丨 X 一
囚	囗 人
四	LK
生	MC
矢	𠂉
失	MB 人
乍	𠂉 ID
禾	MF
丘	PDA
付	亻 寸
仗	亻 丈
代	亻 弋
仙	亻 山
们	亻 门
仪	亻 义
白	NK
仔	亻 子
他	亻 也
斥	斤 丶
瓜	PS
乎	丿 UA
丛	从 一
令	人 之
用	LD BI
甩	LD 乚
印	RH 一 卩
尔	⺈ 小
乐	RH 小
句	勹 口
匆	勿 丶
册	Q Q 一
卯	RH 丿 卩
犯	犭 ⺋
外	夕 卜
处	夂 卜
冬	夂 TD
鸟	RZ
务	夂 力
包	RY
饥	饣 几
主	丶 王
市	亠 巾
立	SU
冯	冫 马
玄	亠 幺
闪	门 人
兰	UA 二
半	UB
汁	氵 十
汇	氵 匚
头	TD 大
汉	氵 又
宁	宀 丁
穴	WO
它	宀 匕
讨	讠 寸
写	冖 与
让	讠 上
礼	礻 乚
训	讠 川
议	讠 义
必	心 丿
讯	讠 ⺄ 十
记	讠 己
永	SK
司	𠃌 一 口
尼	尸 匕
民	巳 七
弗	弓 ND
弘	弓 厶
出	屮 凵
辽	辶 了
奶	女 乃
奴	女 又
召	刀 口
加	力 口
皮	XI
边	辶 力
孕	乃 子
发	Z 丿 又 丶
圣	又 土
对	又 寸
台	厶 口
矛	予 丿
纠	纟 丩
母	ZY
幼	幺 力
丝	Z Z Z Z 一
邦	丰 阝
式	弋 工
迂	辶 于
刑	开 刂
戎	戈 𠂇
动	云 力
扛	扌 工
寺	土 寸
吉	士 口
扣	扌 口
考	耂 一 Z
托	扌 乇
老	耂 匕
巩	工 凡
圾	土 及
执	扌 丸
扩	扌 广
扫	扌 彐
地	土 也
场	土 Y OD
扬	扌 Y OD
耳	CE
芋	艹 于
共	廿 八
芒	艹 亡
亚	一 业
芝	艹 之
朽	木 一 Z
朴	木 卜
机	木 几
权	木 又
过	辶 寸
臣	H	A
吏	一 口 乂
再	一 冉
协	十 办
西	FJ
压	厂 土 丶
厌	厂 犬
戌	戊 一
在	𠂇 丨 土
百	一 白
有	𠂇 月
存	𠂇 丨 子
而	GL
页	GO
匠	匚 斤
夸	大 亏
夺	大 寸
灰	𠂇 火
达	辶 大
列	歹 刂
死	歹 匕
成	戊 𠃌
夹	二 火
夷	大 弓
轨	车 九
邪	牙 阝
尧	戈 兀
划	戈 刂
迈	辶 万
毕	比 十
至	HB
此	止 匕
贞	卜 贝
师	刂 一 巾
尘	小 土
尖	小 大
劣	少 力
光	小 兀
当	小 彐
早	日 十
吁	口 于
吐	口 土
吓	口 下
虫	I	A
曲	日 刂
团	囗 才
吕	口 口
同	LD
吊	口 巾
吃	口 乞
因	JD
吸	口 及
吗	口 马
吆	口 幺
屿	山 与
屹	山 乞
岁	山 夕
帆	巾 凡
回	囗 口
岂	山 己
则	贝 刂
刚	LD 刂
网	冂 乂 乂
肉	冂 人 人
年	𠂉 MB
朱	MB 小
先	牛 儿
丢	丿 去
廷	廴 壬
舌	MI
竹	𠂉 丨 𠂉 丨
迁	辶 千
乔	夭 ND
迄	辶 乞
伟	亻 韦
传	亻 专
乒	丘 丿
乓	丘 丶
休	亻 木
伍	亻 五
伏	亻 犬
优	亻 尤
臼	NB
伐	亻 戈
延	廴 丿 止	# 最后一笔是折也视为“止”的一部分
仲	亻 中
件	亻 牛
任	亻 壬
伤	亻 𠂉 力
价	亻 介
伦	亻 仑
份	亻 分
华	化 十
仰	亻 卬
仿	亻 方
伙	亻 火
伪	亻 为
自	NL
伊	亻 尹
血	丿 皿
向	NL 口
似	亻 以
后	⺁ 一 口
行	OI
舟	PY
全	人 王
会	人 云
杀	乂 木
合	人 一 口
兆	V 儿	# 不合笔顺
企	人 止
众	人 人 人
爷	父 Y
伞	人 UA
创	仓 刂
肌	月 几
肋	月 力
朵	几 木
杂	九 木
危	⺈ 厄
旬	勹 日
旨	匕 日
旭	九 日
负	⺈ 贝
匈	勹 凶
名	夕 口
各	夂 口
多	夕 夕
争	⺈ 肀
色	⺈ 巴
壮	丬 士
冲	冫 中
妆	丬 女
冰	冫 水
庄	广 土
庆	广 大
亦	亠 ND 八
刘	文 刂
齐	文 ND
交	亠 八 乂
衣	亠 氏
次	冫 欠
产	立 丿
决	冫 夬
亥	亠 ZM 人
充	亠 允
妄	亡 女
闭	门 才
问	门 口
闯	门 马
羊	UC
并	UA 廾
关	UA 大
米	UF
灯	火 丁
州	VD 川
汗	氵 干
污	氵 亏
江	氵 工
汛	氵 ⺄ 十
池	氵 也
汝	氵 女
汤	氵 Y OD
忙	忄 亡
兴	VD 一 八
宇	宀 于
守	宀 寸
宅	宀 乇
字	宀 子
安	宀 女
讲	讠 井
讳	讠 韦
军	冖 车
讶	讠 牙
许	讠 午
讹	讠 化
论	讠 仑
讼	讠 公
农	冖 氏
讽	讠 风
设	讠 殳
访	讠 方
诀	讠 夬
寻	彐 寸
那	𠃌 BI 阝
迅	辶 ⺄ 十
尽	尺 TD
导	巳 寸
异	巳 廾
