# -*- encoding: utf8 -*-
# 二级字 (3000)
乂	OS
乜	𠃌 Z
兀	GR
弋	HS
孑	YA	# 或 Y A？
孓	了 丶
幺	Z 厶
亓	二 ND
韦	BI 𠃌
廿	EA
丏	丁 Z 𠃌
卅	一 川
仄	厂 人
厄	厂 ⺋
仃	亻 丁
仉	亻 几
仂	亻 力
兮	八 一 Z
刈	乂 刂
爻	乂 乂
卞	亠 卜
闩	门 一
讣	讠 卜
尹	XMA
夬	乛 大
爿	ZI
毋	ZY 丿 一	# 笔顺：先撇后横
邗	干 阝
邛	工 阝
艽	艹 九
艿	艹 乃
札	木 乚
叵	匚 口
匝	匚 巾
丕	不 一
匜	匚 也
劢	万 力
卟	口 卜
叱	口 匕
叻	口 力
仨	亻 三
仕	亻 士
仟	亻 千
仡	亻 乞
仫	亻 么
仞	亻 刃
卮	⺁ 一 ⺋
氐	氏 丶
犰	犭 九
刍	⺈ 彐
邝	广 阝
邙	亡 阝
汀	氵 丁
讦	讠 干
讧	讠 工
讪	讠 山
讫	讠 乞
尻	尸 九
阡	阝 千
尕	乃 小
弁	厶 廾
驭	马 又
匡	匚 王
耒	CK
玎	王 丁
玑	王 几
邢	开 阝
圩	土 于
圬	土 亏
圭	土 土
扦	扌 千
圪	土 乞
圳	土 川
圹	土 广
扪	扌 门
圮	土 己
圯	土 巳
芊	艹 千
芍	艹 勺
芄	艹 丸
芨	艹 及
芑	艹 己
芎	艹 弓
芗	艹 乡
亘	二 日
厍	厂 车
夼	大 川
戍	戊 丶
尥	尤 勺
乩	占 乚
旯	日 九
曳	日 Z 丿
岌	山 及
屺	山 己
凼	水 凵
囡	囗 女
钇	钅 乙
缶	午 凵
氘	气 ND
氖	气 乃
牝	牛 匕
伎	亻 支
伛	亻 区
伢	亻 牙
佤	亻 瓦
仵	亻 午
伥	亻 长
伧	亻 仓
伉	亻 亢
伫	亻 宀 一
囟	NJ 乂
汆	入 水
刖	月 刂
夙	几 歹
旮	九 日
刎	勿 刂
犷	犭 广
犸	犭 马
舛	夕 牛
凫	鸟 几
邬	乌 阝
饧	饣 Y OD
汕	氵 山
汔	氵 乞
汐	氵 夕
汲	氵 及
汜	氵 巳
汊	氵 叉
忖	忄 寸
忏	忄 千
讴	讠 区
讵	讠 巨
祁	礻 阝
讷	讠 内
聿	肀 二
艮	XO
厾	⺄ 去
阱	阝 井
阮	阝 元
阪	阝 反
丞	乛 水 一
妁	女 勺
牟	厶 牛
纡	纟 于
纣	纟 寸
纥	纟 乞
纨	纟 丸
玕	王 干
玙	王 与
抟	扌 专
抔	扌 不
圻	土 斤
坂	土 反
坍	土 丹
坞	土 乌
抃	扌 卞
抉	扌 夬
㧐	扌 双
芫	艹 元
邯	甘 阝
芸	艹 云
芾	艹 一 巾
苈	艹 历
苣	艹 巨
芷	艹 止
芮	艹 内
苋	艹 见
芼	艹 毛
苌	艹 长
苁	艹 从
芩	艹 今
芪	艹 氏
芡	艹 欠
芟	艹 殳
苄	艹 卞
苎	艹 宀 一
苡	艹 以
杌	木 兀
杓	木 勺
杞	木 己
杈	木 叉
忑	下 心
孛	十 冖 子
邴	丙 阝
邳	丕 阝
矶	石 几
奁	大 区
豕	GQ
忒	弋 心
欤	与 欠
轫	车 刃
迓	辶 牙
邶	北 阝
忐	上 心
卣	卜 囗 X
邺	业 阝
旰	日 干
呋	口 夫
呒	口 无
呓	口 艺
呔	口 太
呖	口 历
呃	口 厄
旸	日 Y OD
吡	口 比
町	田 丁
虬	虫 乚
呗	口 贝
吽	口 牛
吣	口 心
吲	口 引
帏	巾 韦
岐	山 支
岈	山 牙
岘	山 见
岑	山 今
岚	山 风
兕	凹 儿
囵	囗 仑
囫	囗 勿
钊	钅 刂
钋	钅 卜
钌	钅 了
迕	辶 午
氙	气 山
氚	气 川
牤	牛 亡
佞	亻 二 女
邱	丘 阝
攸	亻 丨 攵
佚	亻 失
佝	亻 句
佟	亻 冬
佗	亻 它
伽	亻 加
彷	彳 方
佘	人 示
佥	人 二 VD
孚	爪 子
豸	PQ
坌	分 土
肟	月 亏
邸	氐 阝
奂	⺈ 冂 大
劬	句 力
狄	犭 火
狁	犭 允
鸠	九 鸟
邹	刍 阝
饨	饣 屯
饩	饣 气
饪	饣 壬
饫	饣 夭
饬	饣 𠂉 力
亨	亠 口 了
庑	广 无
庋	广 支
疔	疒 丁
疖	疒 Y
肓	亡 月
闱	门 韦
闳	门 𠂇 厶
闵	门 文
羌	羊 乚	#** “羊儿”误
炀	火 Y OD
沣	氵 丰
沅	氵 元
沔	氵 丏
沤	氵 区
沌	氵 屯
