# -*- encoding: utf8 -*-
# 三级字 (1605)
亍	二 丨	# 不是“一”“丁”
尢	GR
彳	OI
卬	RH 卩
殳	QX
𠙶	了 凵
毌	ZY
邘	于 阝
戋	HM	AAA
圢	土 丁
氕	气 丿
伋	亻 及
仝	人 工
冮	冫 工
氿	氵 九
汈	氵 刁
氾	氵 ⺋
忉	忄 刀
宄	宀 九
𬣙	讠 于
讱	讠 刃
扞	扌 干
圲	土 千
圫	土 乇
芏	艹 土
芃	艹 凡
朳	木 八
朸	木 力
𨙸	支 阝
邨	屯 阝
吒	口 乇
吖	口 丫
屼	山 兀
屾	山 山
辿	辶 山
钆	钅 乚
仳	亻 比
伣	亻 见
伈	亻 心
癿	白 乚
甪	丿 LD
邠	分 阝
犴	犭 干
冱	冫 互
邡	方 阝
闫	门 三
𬇕	氵 万
汋	氵 勺
䜣	讠 斤
讻	讠 凶
𬣞	讠 宀 一
孖	子 子
𬘓	纟 川
纩	纟 广
玒	王 工
玓	王 勺
玘	王 己
玚	王 Y OD
刬	戋 刂
𫭟	土 区
坜	土 历
坉	土 屯
扽	扌 屯
𫭢	土 仑
坋	土 分
扺	扌 氏
㧑	扌 为
毐	土 毋
芰	艹 支
芣	艹 不
苊	艹 厄
苉	艹 匹
芘	艹 比
芴	艹 勿
芠	艹 文
𫇭	艹 为
芤	艹 孔
杕	木 大
杙	木 弋
杄	木 千
杧	木 亡
杩	木 马
尪	尤 王
尨	GM
轪	车 大
𫐄	车 兀
坒	比 土
芈	卝 BI
旴	日 于
旵	日 山
呙	口 内
㕮	口 父
岍	山 开
𫵷	山 历
岠	山 巨
岜	山 巴
呇	水 口
冏	冂 八 口
觃	见 子
岙	夭 山
伾	亻 丕
㑇	亻 刍
伭	亻 玄
佖	亻 必
伲	亻 尼
佁	亻 台
飏	风 Y OD
狃	犭 丑
闶	门 亢
汧	氵 开
汫	氵 井
𣲘	氵 无
𣲗	氵 韦
沄	氵 云
沘	氵 比
𬇙	氵 贝
汭	氵 内
㳇	氵 父
沇	氵 允
忮	忄 支
忳	忄 屯
忺	忄 欠
𬣡	讠 戋
祃	礻 马
诇	讠 LD
邲	必 阝
诎	讠 出
诐	讠 皮
屃	尸 贝
𫸩	弓 区
岊	巴 山
阽	阝 占
䢺	出 阝
阼	阝 乍
妧	女 元
妘	女 云
𨚕	弁 阝
纮	纟 𠂇 厶
驲	马 日
𫘜	马 文
纻	纟 宀 一
𬘘	纟 冖 儿
𫘝	马 夬
纼	纟 引
玤	王 丰
玞	王 夫
玱	王 仓
玟	王 文
邽	圭 阝
邿	寺 阝
坥	土 且
坰	土 LD
坬	土 瓜
坽	土 令
弆	去 廾
耵	耳 丁
䢼	共 阝
𦭜	艹 只
茋	艹 氐
苧	艹 宁
苾	艹 必
苠	艹 民
枅	木 开
㭎	木 LD
枘	木 内
枍	木 兮
矼	石 工
矻	石 乞
匼	匚 合
𬨂	车 氏
𬀩	日 韦
𬀪	日 见
旿	日 午
昇	日 升
昄	日 反
昒	日 勿
昈	日 户
咉	口 央
咇	口 必
咍	口 台
岵	山 古
岽	山 东
岨	山 且
岞	山 乍
峂	山 冬
㟃	山 司
囷	囗 禾
𬬩	钅 弋
钐	钅 彡
钔	钅 门
钖	钅 Y OD
牥	牛 方
佴	亻 耳
垈	代 土
侁	亻 先
侹	亻 廷
佸	亻 舌
佺	亻 全
隹	NI
㑊	亻 亦
侂	亻 广 乇
佽	亻 次
侘	亻 宅
郈	后 阝
舠	舟 刀
郐	会 阝
郃	合 阝
攽	分 攵
肭	月 内
肸	月 八 十
肷	月 欠
狉	犭 丕
狝	犭 尔
饳	饣 出
忞	文 心
於	方 人 TD
炌	火 介
炆	火 文
泙	氵 平
沺	氵 田
泂	氵 LD
泜	氵 氐
泃	氵 句
泇	氵 加
怊	忄 召
峃	VD 冖 山
穸	穴 夕
祋	礻 殳
祊	礻 方
𫍣	讠 同
𬣳	讠 艮
𬩽	寻 阝
鸤	尸 鸟
弢	弓 屮 又
弨	弓 召
陑	阝 而
𬮿	阝 岂
陎	阝 朱
𬯀	阝 齐
卺	丞 ⺋
乸	也 母
妭	女 友 丶
姈	女 令
𫰛	女 XS 工
迳	辶 XS 工
叕	双 双
𬳵	马 丕
驵	马 且
𬳶	马 LD
䌹	纟 LD
驺	马 刍
𫠊	马 玄
绋	纟 弗
绐	纟 台
砉	丰 石
耔	耒 子
㛃	丰 刀 女
玶	王 平
珇	王 且
珅	王 申
𬍛	王 乐
珋	王 卯
玹	王 玄
珌	王 必
玿	王 召
韨	韦 友 丶
垚	土 土 土
垯	土 达
垙	土 光
垲	土 岂
埏	土 延
垍	土 自
耇	耂 句
鿍	土 夂 牛
垎	土 各
垴	土 亠 凶
垟	土 羊
垞	土 宅
挓	扌 宅
垵	土 安
垏	土 聿
拶	扌 巛 夕
荖	艹 老
荁	艹 亘
荙	艹 达
荛	艹 尧
茈	艹 此
茽	艹 仲
荄	艹 亥
茺	艹 充
𬜬	艹 问
荓	艹 并
茳	艹 江
𦰡	艹 那
茛	艹 艮
荭	艹 红
㭕	木 去
柷	木 兄
柃	木 令
柊	木 冬
枹	木 包
栐	木 永
柖	木 召
郚	吾 阝
剅	豆 刂
䴓	一 巾 鸟
迺	辶 西
厖	厂 尨
砆	石 夫
砑	石 牙
砄	石 驮
耏	而 彡
奓	大 多
䶮	龙 天
轵	车 只
轷	车 乎
轹	车 乐
轺	车 召
昺	日 丙
𪾢	目 见
昽	日 龙
盷	目 匀
咡	口 耳
咺	口 亘
昳	日 失
昣	日 人 彡
哒	口 达
昤	日 令
昫	日 句
昡	日 玄
咥	口 至
昪	日 弁
虷	虫 干
虸	虫 子
哃	口 同
耑	山 而
峏	山 而
峛	山 列
𪨰	山 曲
峗	山 危
峧	山 交
帡	巾 并
钘	钅 开
𫓧	钅 夫
钜	钅 巨
𬬮	钅 长
𬬱	钅 斤
𬬭	钅 仑
钪	钅 亢
钬	钅 火
钭	钅 斗
矧	矢 引
秬	禾 巨
俫	亻 来
舁	臼 廾
俜	亻 由 一 Z
俙	亻 希
俍	亻 良
垕	后 土
衎	行 干
舣	舟 义
弇	合 廾
侴	人 一 丑 刂
鸧	仓 鸟
䏡	月 示
胠	月 去
𦙶	月 古
胈	月 友 丶
胩	月 卡
胣	月 𠂉 也
朏	月 出
飐	风 占
訄	九 言
饻	饣 衣
庤	广 寺
疢	疒 火
炣	火 可
炟	火 旦
㶲	火 LD
洭	氵 匡
洘	氵 考
洓	氵 木 冂
洿	氵 夸
㳚	氵 戍
泚	氵 此
浈	氵 贞
浉	氵 师
洸	氵 光
洑	氵 伏
洢	氵 伊
洈	氵 危
洚	氵 夂 牛
洺	氵 名
洨	氵 交
浐	氵 产
㳘	氵 充
洴	氵 并
洣	氵 米
恔	忄 交
宬	宀 成
窀	穴 屯
扂	户 占
袆	衤 韦
祏	礻 石
祐	礻 右
祕	礻 必
叚	X 二 X 又
陧	阝 日 土
陞	阝 升 土
娀	女 戎
姞	女 吉
姱	女 夸
姤	女 后
姶	女 合
姽	女 危
枲	台 木
绖	纟 至
骃	马 因
𬘡	纟 因
𬳽	马 先
𬘩	纟 廷
𫄧	纟 延
彖	彑 豕
骉	马 马 马
恝	丰 刀 心
珪	王 圭
珛	王 有
珹	王 成
琊	王 邪
玼	王 此
珖	王 光
𪟝	责 力
珽	王 廷
珦	王 向
珫	王 充
珒	王 聿
𬍤	王 寻
珢	王 艮
珕	王 力 力 力
珝	王 羽
𫭼	土 劳
埗	土 步
垾	土 旱
垺	土 孚
埆	土 角
垿	土 序
埌	土 良
埇	土 甬
莰	艹 坎
茝	艹 臣
𬜯	艹 两
鄀	若 阝
莶	艹 佥
莝	艹 坐
䓖	艹 穷
莙	艹 君
栻	木 式
桠	木 亚
𬂩	木 夹
桄	木 光
梠	木 吕
栴	木 𠂉 丹
梴	木 延
栒	木 旬
酎	酉 寸
酏	酉 也
𫠆	支 页
