😀	哈哈
😄	开心
😁	嘻嘻
😆	大笑
😅	苦笑
😂	笑哭
🙂	呵呵
🫠	融化
😍	色
😘	亲亲
😋	好吃
🤪	滑稽
🤑	发财
🤫	嘘
🤔	思考
😑	无语
😏	得意
😒	不满
🙄	白眼
😔	难过
😴	睡觉
🤒	生病 发烧
🤕	受伤
🤮	呕吐
😵	晕
🤯	爆炸
😎	酷
🧐	咦
😕	困扰
😟	担心
🙁	哭脸
😳	脸红
🥺	可怜
😱	恐惧
😓	汗
😫	累
🥱	困 哈欠
😠	生气
🤬	骂人
😈	恶魔
💀	死
💩	大便 屎
🤡	小丑
💯	满分
💥	爆炸
👌	好的
🤙	六
🖕	中指
👍	很好
👎	不好
👏	鼓掌
🤝	握手
🙏	双手合十
👂	耳朵
👃	鼻子
🧠	脑子 大脑
👀	眼睛
👅	舌头
❤️	心
💔	心碎
🤦	捂脸
🤷	怂肩
🙅	不行 不可以
🙋	举手

🐒	猴 猴子
🦍	猩猩
🐕	狗
🐺	狼
🦊	狐 狐狸
🦝	浣熊
🐈	猫
🦁	狮 狮子
🐅	虎 老虎
🐆	豹
🐎	马
🦄	独角兽
🦓	斑马
🦌	鹿
🐂	牛
🐄	奶牛
🐖	猪
🐑	羊
🐐	山羊
🐪	骆驼
🦒	长颈鹿
🐘	象 大象
🦏	犀牛
🦛	河马
🐁	鼠 老鼠
🐹	仓鼠
🐇	兔 兔子
🐿️	松鼠
🦇	蝙蝠
🐻	熊
🐼	熊猫
🐔	鸡
🐦	鸟
🕊️	鸽 鸽子
🦅	鹰 老鹰
🦆	鸭 鸭子
🦢	天鹅
🦉	猫头鹰
🪶	羽毛
🦚	孔雀
🦜	鹦鹉
🐸	蛙 青蛙
🐊	鳄鱼
🐢	龟 乌龟
🐍	蛇
🐉	龙
🐋	鲸 鲸鱼
🐬	海豚
🐟	鱼
🐌	蜗牛
🦋	蝴蝶
🐜	蚁 蚂蚁
🐝	蜜蜂
🪲	甲虫
🐞	瓢虫
🦟	蚊子
🪰	苍蝇
🦠	细菌
🌹	玫瑰
🥀	凋谢
🍄	蘑菇

🍇	葡萄
🍈	蜜瓜
🍉	西瓜
🍊	橘 橘子
🍋	柠檬
🍌	香蕉
🍍	菠萝
🥭	芒果
🍎	苹果
🍏	青苹果
🍐	梨 梨子
🍑	桃 桃子
🍒	樱桃
🍓	草莓
🫐	蓝莓
🥝	猕猴桃
🍅	番茄 西红柿
🫒	橄榄
🥥	椰 椰子
🥑	牛油果
🍆	茄 茄子
🥔	土豆 马铃薯
🥕	胡萝卜
🌽	玉米
🫑	青椒
🥒	黄瓜
🥬	菜 蔬菜
🥦	西兰花
🧄	蒜 大蒜
🧅	洋葱
🥜	花生
🌰	例子
🍞	面包
🧀	奶酪 芝士
🍗	鸡腿
🥩	牛排
🍔	汉堡
🍟	薯条
🍕	披萨 匹萨
🌭	热狗
🥪	三明治 三文治
🥚	蛋 鸡蛋
🍳	煎蛋
🍲	锅
🥗	沙拉
🍿	爆米花
🧈	黄油
🧂	盐
🍚	饭 米饭
🍜	面条
🍣	寿司
🥮	月饼
🥟	饺子
🦀	蟹 螃蟹
🦞	龙虾
🦐	虾
🦪	牡蛎 生蚝
🍦	冰淇淋
🍩	甜甜圈
🍪	饼干
🎂	蛋糕
🍫	巧克力
🍬	糖果
🍭	棒棒糖
🍯	蜂蜜
🍼	奶瓶
🥛	牛奶
☕	咖啡
🫖	茶壶
🍵	茶
🍾	香槟
🍷	红酒 葡萄酒
🍸	鸡尾酒
🍺	啤酒
🍻	干杯
🥂	碰杯
🥃	杯 杯子
🥤	饮料杯
🧋	奶茶
🧃	饮料盒
🧊	冰块
🥢	筷子
🍴	刀叉
🥄	勺子
🎃	南瓜 南瓜灯
🎄	圣诞 圣诞树
🎆	烟花 焰火
🎇	烟花棒
🧨	鞭炮 爆竹
🎈	气球
🎉	礼花 礼炮
🧧	红包
🎀	蝴蝶结
🎁	礼物
🎫	票
🏆	奖杯
🏅	奖牌
🥇	金牌
🥈	银牌
🥉	铜牌
⚽	足球
⚾	棒球
🥎	垒球
🏀	篮球
🏐	排球
🏈	橄榄球
🎾	网球
🥏	飞盘
🎳	保龄球
🏏	板球
🏑	曲棍球
🏒	冰球
🏓	乒乓球
🏸	羽毛球
🥊	拳击
🥋	武术
🥅	球门
⛳	高尔夫
🎣	钓鱼
🤿	浮潜
🎿	滑雪
🛷	雪橇
🥌	冰壶
🎯	飞镖
🪀	悠悠球 溜溜球
🪁	风筝
🔫	水枪 手枪
🎱	台球 桌球
