# GB2312 中的《规范子表》未收字
巛	ZD
彐	XB
丌	一 ND
乇	丿 七
佧	亻 卡
咭	口 吉
哜	口 齐
囝	囗 子
坶	土 母
垅	土 龙
堀	土 屈
嬲	男 女 男
庀	广 匕
弪	弓 XS 工
後	彳 幺 夂
憝	敦 心
拚	扌 弁
挢	扌 乔
捱	扌 厂 土 土
揎	扌 宣
揞	扌 音
揲	扌 世 木
搿	手 合 手
摺	扌 羽 白
擗	扌 辟
攴	卜 又
朊	月 元
楱	木 奏
榀	木 品
榘	矩 木
欷	希 欠
氽	人 水
沲	氵 MA 也
泶	VD 冖 水
渖	氵 审
熳	火 曼
猓	犭 果
猸	犭 眉
甙	弋 甘
疋	X 止
痖	疒 亚
矽	石 夕
砦	此 石
砩	石 弗
硷	石 佥
磺	石 黄
礤	石 蔡
窆	穴 乏
箝	M 扌 甘
簦	M 登
糸	Z
缋	纟 贵
缍	纟 垂
缏	纟 便
肜	月 彡
膣	月 窒
膪	月 啻
臁	月 廉
舡	舟 工
舨	舟 反
茇	艹 友 丶
菸	艹 於
蚵	虫 可
螓	虫 秦
蟓	虫 象
蠛	虫 蔑
謦	声 殳 言
诶	讠 矣
谘	讠 咨
跫	巩 足
軎	FK 口
醣	酉 唐
钶	钅 可
钸	钅 布
镙	钅 累
镟	钅 旋
阢	阝 兀
飚	风 焱
馀	饣 余
鲶	鱼 念
鳆	鱼 复
鳋	鱼 蚤
麴	木 人 人 夂 勹 米	# 麦字旁没有类推简化
齄	鼻 查
